"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.04.2025","27,63","28,03","28,21","27,40","21,86M","-0,18%"
"07.04.2025","27,68","27,88","28,27","27,36","20,52M","-1,07%"
"04.04.2025","27,98","28,20","28,33","27,78","15,60M","-1,86%"
"03.04.2025","28,51","28,26","28,69","28,22","14,79M","0,56%"
"02.04.2025","28,35","28,40","28,55","28,12","9,03M","0,07%"
"01.04.2025","28,33","28,17","28,58","28,01","14,17M","0,50%"
"31.03.2025","28,19","28,50","28,51","27,95","17,64M","-1,57%"
"28.03.2025","28,64","28,69","28,98","28,53","12,42M","-0,17%"
"27.03.2025","28,69","28,82","28,85","28,48","14,39M","-0,42%"
"26.03.2025","28,81","28,50","28,87","28,37","11,88M","1,19%"
"25.03.2025","28,47","28,36","28,75","28,35","15,26M","0,39%"
"24.03.2025","28,36","28,44","28,44","28,09","13,46M","-0,04%"
"21.03.2025","28,37","28,35","28,48","28,07","66,91M","0,42%"
"20.03.2025","28,25","28,36","28,48","28,11","13,99M","-0,49%"
"19.03.2025","28,39","28,51","28,74","28,39","18,92M","-0,39%"
"18.03.2025","28,50","28,46","28,65","28,36","16,78M","0,14%"
"17.03.2025","28,46","27,87","28,56","27,84","19,65M","2,08%"
"14.03.2025","27,88","27,53","28,09","27,53","22,84M","1,42%"
"13.03.2025","27,49","27,05","27,62","26,74","18,33M","1,63%"
"12.03.2025","27,05","27,10","27,20","26,95","15,03M","-0,16%"
"11.03.2025","27,09","27,37","27,43","26,89","20,02M","-0,89%"
"10.03.2025","27,34","27,33","27,37","27,01","14,41M","-0,32%"
