"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.04.2025","60,60","61,24","62,24","60,07","8,25M","0,82%"
"07.04.2025","60,11","58,53","61,45","58,12","8,96M","0,17%"
"04.04.2025","60,01","62,45","62,60","59,75","11,49M","-5,29%"
"03.04.2025","63,36","64,40","67,94","63,09","14,15M","-2,33%"
"02.04.2025","64,87","66,13","66,42","64,32","4,85M","-1,32%"
"01.04.2025","65,74","66,06","66,06","64,00","5,49M","-0,02%"
"31.03.2025","65,75","66,15","66,23","63,81","6,00M","-0,92%"
"28.03.2025","66,36","68,35","69,07","66,08","4,50M","-2,87%"
"27.03.2025","68,32","70,00","70,00","68,04","5,39M","-1,46%"
"26.03.2025","69,33","69,98","70,44","68,82","4,53M","-0,59%"
"25.03.2025","69,74","71,62","72,00","69,40","5,02M","-2,12%"
"24.03.2025","71,25","74,75","74,85","70,50","7,33M","-4,70%"
"21.03.2025","74,76","73,78","75,99","73,23","9,70M","1,08%"
"20.03.2025","73,96","79,30","79,33","72,72","10,99M","-6,72%"
"19.03.2025","79,29","78,20","79,83","77,97","6,66M","1,61%"
"18.03.2025","78,03","77,03","78,38","77,03","6,23M","0,80%"
"17.03.2025","77,41","75,44","78,18","74,76","8,21M","3,38%"
"14.03.2025","74,88","74,55","76,13","73,69","5,65M","1,39%"
"13.03.2025","73,85","73,00","74,50","72,83","4,15M","1,22%"
"12.03.2025","72,96","73,13","74,15","72,41","6,28M","-0,36%"
"11.03.2025","73,22","74,35","74,35","72,75","7,53M","-1,39%"
"10.03.2025","74,25","73,16","74,82","72,92","9,35M","0,77%"
