"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.04.2025","3,73","3,76","3,82","3,72","704,50K","0,00%"
"07.04.2025","3,73","3,80","3,83","3,70","1,25M","-1,84%"
"04.04.2025","3,80","3,77","3,84","3,72","1,19M","0,80%"
"03.04.2025","3,77","3,83","3,85","3,74","1,65M","-2,33%"
"02.04.2025","3,86","3,85","3,88","3,83","605,70K","0,52%"
"01.04.2025","3,84","3,85","3,90","3,80","862,10K","-0,26%"
"31.03.2025","3,85","3,94","3,94","3,85","886,00K","-1,53%"
"28.03.2025","3,91","3,91","3,97","3,88","521,90K","0,26%"
"27.03.2025","3,90","3,95","3,97","3,90","537,30K","-0,76%"
"26.03.2025","3,93","3,90","3,93","3,86","538,40K","0,51%"
"25.03.2025","3,91","3,97","4,00","3,89","781,40K","-1,26%"
"24.03.2025","3,96","4,01","4,01","3,94","637,50K","-0,75%"
"21.03.2025","3,99","4,05","4,08","3,98","614,90K","-1,24%"
"20.03.2025","4,04","4,07","4,10","4,04","342,90K","-0,74%"
"19.03.2025","4,07","4,08","4,14","4,03","316,80K","0,00%"
"18.03.2025","4,07","4,05","4,09","4,02","393,30K","-0,25%"
"17.03.2025","4,08","4,02","4,09","3,99","274,80K","1,49%"
"14.03.2025","4,02","3,99","4,06","3,94","332,30K","0,75%"
"13.03.2025","3,99","3,93","3,99","3,88","343,90K","2,31%"
"12.03.2025","3,90","4,00","4,01","3,87","932,30K","-2,01%"
"11.03.2025","3,98","4,11","4,13","3,98","413,50K","-3,86%"
"10.03.2025","4,14","4,15","4,16","3,96","895,30K","0,00%"
