"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.04.2025","32,00","33,70","33,94","31,88","61,78M","-3,56%"
"07.04.2025","33,18","33,92","34,56","33,11","85,49M","-3,97%"
"04.04.2025","34,55","34,74","35,01","33,81","87,15M","-4,03%"
"03.04.2025","36,00","36,15","36,30","35,61","65,53M","-3,23%"
"02.04.2025","37,20","37,27","37,30","36,83","16,55M","-0,27%"
"01.04.2025","37,30","37,30","37,97","37,20","19,01M","0,38%"
"31.03.2025","37,16","37,35","37,64","37,08","25,99M","-0,72%"
"28.03.2025","37,43","37,65","37,88","37,09","22,03M","-0,64%"
"27.03.2025","37,67","37,43","37,97","37,39","28,38M","0,75%"
"26.03.2025","37,39","37,15","37,63","37,15","26,85M","0,94%"
"25.03.2025","37,04","36,85","37,52","36,63","27,98M","0,79%"
"24.03.2025","36,75","36,70","36,94","36,50","20,09M","-0,14%"
"21.03.2025","36,80","36,22","37,03","36,18","60,95M","1,55%"
"20.03.2025","36,24","36,16","36,48","35,76","46,66M","0,22%"
"19.03.2025","36,16","36,27","36,33","36,03","21,10M","-0,08%"
"18.03.2025","36,19","36,19","36,41","35,91","14,95M","0,08%"
"17.03.2025","36,16","35,61","36,41","35,60","31,11M","1,86%"
"14.03.2025","35,50","34,60","35,76","34,37","41,41M","3,08%"
"13.03.2025","34,44","34,18","34,54","34,04","19,17M","1,00%"
"12.03.2025","34,10","34,16","34,40","33,96","20,11M","0,00%"
"11.03.2025","34,10","34,75","34,90","33,91","28,61M","-1,50%"
"10.03.2025","34,62","34,58","34,62","34,00","34,89M","-0,03%"
