"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.04.2025","33,81","33,30","34,14","33,29","3,83M","0,99%"
"07.04.2025","33,48","34,01","34,28","33,01","3,50M","-1,96%"
"04.04.2025","34,15","33,89","34,56","33,43","3,06M","-1,01%"
"03.04.2025","34,50","33,63","34,95","33,39","2,38M","2,25%"
"02.04.2025","33,74","33,99","34,42","33,67","2,96M","-0,38%"
"01.04.2025","33,87","33,51","34,13","33,17","2,22M","1,50%"
"31.03.2025","33,37","33,29","33,77","33,07","1,93M","-0,09%"
"28.03.2025","33,40","32,93","33,67","32,59","2,05M","0,85%"
"27.03.2025","33,12","33,40","33,41","32,89","2,17M","0,03%"
"26.03.2025","33,11","33,90","33,90","32,84","3,55M","-1,87%"
"25.03.2025","33,74","33,67","34,03","33,20","2,21M","0,90%"
"24.03.2025","33,44","33,78","34,02","33,17","3,31M","-2,38%"
"21.03.2025","34,26","34,67","34,67","34,19","3,55M","-0,86%"
"20.03.2025","34,56","34,72","34,92","34,24","2,72M","-0,83%"
"19.03.2025","34,84","34,85","35,53","34,37","3,06M","0,92%"
"18.03.2025","34,53","33,43","34,82","33,30","5,60M","2,45%"
"17.03.2025","33,70","33,76","33,84","32,68","2,68M","0,69%"
"14.03.2025","33,47","33,50","33,76","33,05","6,79M","0,81%"
"13.03.2025","33,20","33,21","33,34","32,50","3,15M","0,00%"
"12.03.2025","33,20","33,63","33,63","33,06","4,94M","-0,90%"
"11.03.2025","33,50","34,11","34,13","33,31","9,75M","-2,16%"
"10.03.2025","34,24","34,13","34,77","33,82","5,52M","0,35%"
