"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.04.2025","19,31","19,47","19,89","19,09","2,18M","0,10%"
"07.04.2025","19,29","19,28","19,92","19,02","2,82M","-2,72%"
"04.04.2025","19,83","20,14","20,14","19,54","4,47M","-3,74%"
"03.04.2025","20,60","19,96","20,82","19,90","4,62M","3,00%"
"02.04.2025","20,00","19,77","20,23","19,76","6,19M","1,47%"
"01.04.2025","19,71","19,87","20,23","19,66","4,06M","-0,90%"
"31.03.2025","19,89","19,99","20,02","19,37","5,55M","-1,00%"
"28.03.2025","20,09","20,18","20,32","19,73","2,89M","-0,45%"
"27.03.2025","20,18","19,80","20,53","19,61","6,06M","2,75%"
"26.03.2025","19,64","19,16","20,06","19,16","5,99M","2,51%"
"25.03.2025","19,16","18,90","19,83","18,86","6,10M","1,64%"
"24.03.2025","18,85","19,15","19,35","18,62","4,49M","-1,21%"
"21.03.2025","19,08","19,02","19,53","18,86","5,22M","0,69%"
"20.03.2025","18,95","19,07","19,22","18,75","5,85M","-1,20%"
"19.03.2025","19,18","18,90","19,56","18,15","21,27M","7,57%"
"18.03.2025","17,83","17,46","18,02","17,43","5,59M","2,06%"
"17.03.2025","17,47","18,10","18,13","17,06","8,14M","-2,13%"
"14.03.2025","17,85","17,62","18,02","17,46","5,41M","0,11%"
"13.03.2025","17,83","18,21","18,21","17,52","2,76M","-1,11%"
"12.03.2025","18,03","18,33","18,60","17,67","6,77M","-1,37%"
"11.03.2025","18,28","17,71","18,30","17,60","3,78M","3,16%"
"10.03.2025","17,72","17,57","18,13","17,47","2,86M","-0,39%"
