"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.04.2024","57,37","57,74","57,85","57,32","1,25M","-0,64%"
"11.04.2024","57,74","57,50","58,00","57,37","6,21M","0,24%"
"10.04.2024","57,60","58,34","58,50","57,33","7,05M","-1,35%"
"09.04.2024","58,39","58,25","58,77","58,18","4,66M","0,85%"
"08.04.2024","57,90","57,50","58,84","57,26","9,82M","1,56%"
"05.04.2024","57,01","56,90","57,08","56,45","6,39M","0,42%"
"04.04.2024","56,77","56,55","57,95","56,55","11,66M","0,67%"
"03.04.2024","56,39","56,09","56,64","55,65","7,29M","0,39%"
"02.04.2024","56,17","56,05","56,34","55,77","5,25M","0,16%"
"01.04.2024","56,08","56,70","56,92","55,71","5,43M","-0,95%"
"28.03.2024","56,62","55,76","56,88","55,65","8,52M","1,16%"
"27.03.2024","55,97","56,17","56,24","55,34","7,93M","0,07%"
"26.03.2024","55,93","55,69","56,43","55,52","7,73M","0,54%"
"25.03.2024","55,63","55,43","56,13","55,27","6,44M","0,32%"
"23.03.2024","55,45","55,45","55,45","55,45","","0,07%"
"22.03.2024","55,41","55,67","55,98","55,25","6,56M","-0,41%"
"21.03.2024","55,64","56,60","57,00","55,46","8,85M","-1,40%"
"20.03.2024","56,43","55,83","56,50","55,41","8,83M","1,07%"
"19.03.2024","55,83","56,24","56,43","55,13","10,11M","-0,36%"
"18.03.2024","56,03","57,30","57,78","55,82","11,28M","-1,55%"
"16.03.2024","56,91","56,91","56,91","56,91","","-0,66%"
"15.03.2024","57,29","56,82","57,52","56,77","14,15M","1,02%"
"14.03.2024","56,71","56,95","57,35","56,59","10,34M","-0,44%"
"13.03.2024","56,96","57,51","57,74","56,88","10,19M","-1,11%"
"12.03.2024","57,60","57,01","58,11","56,63","11,35M","1,37%"
"11.03.2024","56,82","57,29","57,29","56,49","12,56M","-1,00%"
"08.03.2024","57,40","56,60","57,75","55,63","20,00M","-0,98%"
"07.03.2024","57,96","58,52","58,69","57,83","7,43M","-0,95%"
"06.03.2024","58,52","57,80","58,59","57,68","6,24M","1,48%"
"05.03.2024","57,66","57,39","57,95","57,28","4,71M","0,69%"
"04.03.2024","57,27","57,60","57,79","57,06","6,50M","-0,41%"
"01.03.2024","57,51","57,53","57,94","57,42","5,13M","0,10%"
"29.02.2024","57,45","58,33","58,50","57,29","10,21M","-1,51%"
"28.02.2024","58,33","58,16","58,72","57,99","6,17M","0,20%"
"27.02.2024","58,21","57,77","58,33","57,58","6,98M","1,21%"
"26.02.2024","57,51","57,00","57,77","56,84","6,72M","0,96%"
"23.02.2024","56,97","57,71","57,84","56,73","10,27M","-1,24%"
"22.02.2024","57,68","58,27","58,34","57,51","9,90M","-0,86%"
"21.02.2024","58,19","58,07","58,33","57,81","22,92M","0,24%"
"20.02.2024","58,05","57,62","58,65","57,50","18,41M","0,64%"
"19.02.2024","57,68","56,70","57,80","56,38","9,13M","1,81%"
"16.02.2024","56,65","57,34","57,56","56,20","9,49M","-0,84%"
"15.02.2024","57,13","57,12","57,35","56,79","8,01M","0,02%"
"14.02.2024","57,12","56,15","57,15","55,88","8,60M","1,35%"
"09.02.2024","56,36","57,27","57,34","54,13","24,07M","-1,66%"
"08.02.2024","57,30","58,21","58,47","57,03","10,60M","-1,51%"
"07.02.2024","58,19","58,31","58,54","57,43","8,18M","-0,27%"
"06.02.2024","58,34","57,19","58,47","57,17","8,29M","2,16%"
"05.02.2024","57,11","56,51","57,11","56,14","7,57M","1,07%"
"02.02.2024","56,50","56,48","56,65","55,93","7,48M","-0,03%"
"01.02.2024","56,52","55,26","56,52","55,11","11,32M","2,29%"
"31.01.2024","55,26","55,21","55,64","54,94","6,56M","0,39%"
"30.01.2024","55,04","55,30","55,31","54,77","5,93M","-0,51%"
"29.01.2024","55,33","55,76","55,83","54,88","5,63M","-0,79%"
"26.01.2024","55,77","55,44","55,79","55,36","8,20M","0,69%"
"25.01.2024","55,39","55,55","55,80","55,34","6,01M","-0,12%"
"24.01.2024","55,45","55,48","55,84","55,25","6,67M","0,19%"
"23.01.2024","55,35","54,63","55,40","54,38","10,07M","1,78%"
"22.01.2024","54,38","54,89","54,95","54,19","6,55M","-0,66%"
"19.01.2024","54,74","54,36","55,16","54,11","12,65M","1,05%"
"18.01.2024","54,17","54,87","54,93","54,09","7,32M","-1,16%"
"17.01.2024","54,81","54,63","54,92","54,46","9,68M","0,20%"
"16.01.2024","54,70","54,78","55,28","54,59","8,97M","-0,57%"
"15.01.2024","55,01","53,94","55,01","53,84","8,41M","1,96%"
"12.01.2024","53,96","53,64","54,04","53,16","5,06M","0,58%"
"11.01.2024","53,64","53,25","53,69","53,08","6,74M","0,68%"
"10.01.2024","53,28","53,03","53,52","53,03","4,94M","-0,17%"
"09.01.2024","53,37","53,93","53,99","53,13","7,68M","-1,50%"
"08.01.2024","54,18","53,89","54,31","53,62","9,05M","0,86%"
"05.01.2024","53,72","53,04","53,97","52,86","8,23M","1,20%"
"04.01.2024","53,09","53,59","53,74","52,98","8,10M","-1,06%"
"03.01.2024","53,65","53,53","53,91","53,35","8,15M","0,09%"
"02.01.2024","53,60","53,96","54,11","53,30","8,17M","-1,14%"
"28.12.2023","54,22","53,70","54,22","53,54","5,84M","0,97%"
"27.12.2023","53,70","53,64","53,81","53,43","3,37M","-0,15%"
"26.12.2023","53,78","53,29","53,80","53,15","3,98M","0,92%"
"22.12.2023","53,29","53,35","53,47","52,93","7,30M","0,28%"
"21.12.2023","53,14","53,64","53,64","52,75","10,00M","0,15%"
"20.12.2023","53,07","53,69","53,84","52,92","7,83M","-1,17%"
"19.12.2023","53,69","53,42","53,76","53,15","7,73M","0,37%"
"18.12.2023","53,50","53,52","53,87","53,03","7,76M","0,07%"
"15.12.2023","53,46","52,13","53,46","51,71","18,16M","2,40%"
"14.12.2023","52,20","52,37","52,43","51,29","18,44M","0,66%"
"13.12.2023","51,86","51,36","52,14","50,55","18,08M","0,91%"
"12.12.2023","51,39","52,66","52,66","51,30","12,53M","-2,95%"
"11.12.2023","52,96","52,97","53,22","52,60","5,74M","-0,02%"
"08.12.2023","52,97","52,43","53,11","52,20","10,39M","1,08%"
"07.12.2023","52,40","51,56","52,42","51,56","5,78M","1,62%"
"06.12.2023","51,57","52,90","52,99","51,46","8,82M","-2,14%"
"05.12.2023","52,69","52,68","53,05","52,54","5,86M","0,00%"
"04.12.2023","52,69","52,82","53,32","52,49","6,96M","-0,39%"
"01.12.2023","52,90","52,87","53,31","52,41","9,47M","0,20%"
"30.11.2023","52,79","51,29","52,90","51,29","17,71M","2,92%"
"29.11.2023","51,29","51,33","51,60","50,93","10,51M","0,15%"
"28.11.2023","51,21","50,55","51,36","50,54","9,82M","1,45%"
"27.11.2023","50,49","49,76","50,56","49,68","11,31M","1,84%"
"24.11.2023","49,57","49,68","49,88","49,32","4,41M","-0,12%"
"23.11.2023","49,63","49,42","50,08","49,42","4,12M","0,33%"
"22.11.2023","49,46","49,22","49,96","49,22","8,10M","0,69%"
"21.11.2023","49,13","48,78","49,25","48,63","10,32M","0,71%"
"20.11.2023","48,78","48,79","49,13","48,17","7,54M","0,53%"
"17.11.2023","48,52","48,16","48,81","48,10","12,21M","0,76%"
"16.11.2023","48,16","48,18","48,35","47,76","17,11M","-0,02%"
"14.11.2023","48,17","48,06","48,79","47,86","18,93M","0,48%"
"13.11.2023","47,94","47,99","48,17","47,73","4,82M","-0,38%"
