"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.04.2024","32,45","32,40","32,50","32,22","886,60K","-0,52%"
"11.04.2024","32,62","32,71","32,80","31,95","3,45M","-0,67%"
"10.04.2024","32,84","32,35","32,96","32,30","5,25M","0,89%"
"09.04.2024","32,55","32,51","32,68","31,95","3,58M","0,18%"
"08.04.2024","32,49","32,30","32,62","31,86","4,27M","0,34%"
"05.04.2024","32,38","32,72","32,79","32,15","5,45M","-0,61%"
"04.04.2024","32,58","33,18","33,83","32,49","4,73M","-1,57%"
"03.04.2024","33,10","32,77","33,25","32,32","5,03M","1,07%"
"02.04.2024","32,75","32,47","33,06","32,07","6,56M","1,11%"
"01.04.2024","32,39","33,51","33,60","32,29","6,16M","-2,76%"
"28.03.2024","33,31","33,12","33,91","32,99","6,79M","0,48%"
"27.03.2024","33,15","33,43","33,43","32,95","4,85M","-0,45%"
"26.03.2024","33,30","33,04","33,64","32,80","7,83M","-0,66%"
"25.03.2024","33,52","33,35","33,77","32,72","11,20M","0,42%"
"23.03.2024","33,38","33,38","33,38","33,38","","0,09%"
"22.03.2024","33,35","31,20","33,65","31,16","24,19M","7,93%"
"21.03.2024","30,90","31,80","31,80","30,64","9,04M","-2,46%"
"20.03.2024","31,68","31,57","32,10","31,08","9,40M","0,35%"
"19.03.2024","31,57","29,63","31,63","29,60","16,84M","6,55%"
"18.03.2024","29,63","29,73","30,00","27,66","18,05M","1,82%"
"15.03.2024","29,10","29,53","29,80","29,03","12,60M","-0,92%"
"14.03.2024","29,37","27,35","29,46","27,35","24,08M","10,21%"
"13.03.2024","26,65","26,28","27,08","26,27","8,09M","0,64%"
"12.03.2024","26,48","26,73","26,73","25,91","4,91M","-0,56%"
"11.03.2024","26,63","26,79","26,96","26,09","3,57M","-0,78%"
"08.03.2024","26,84","26,31","27,26","26,30","4,52M","1,51%"
"07.03.2024","26,44","26,70","27,10","26,13","6,40M","-1,20%"
"06.03.2024","26,76","26,88","27,06","26,03","7,36M","-0,15%"
"05.03.2024","26,80","27,24","27,30","26,73","10,21M","-0,74%"
"04.03.2024","27,00","25,98","27,10","25,80","20,79M","4,33%"
"01.03.2024","25,88","24,93","25,93","24,72","15,71M","5,94%"
"29.02.2024","24,43","23,93","24,43","23,71","6,08M","2,05%"
"28.02.2024","23,94","23,38","24,12","23,33","8,44M","2,09%"
"27.02.2024","23,45","22,93","23,95","22,88","7,61M","2,67%"
"26.02.2024","22,84","22,67","23,13","22,60","4,71M","0,48%"
"23.02.2024","22,73","22,77","23,08","22,66","4,20M","-0,18%"
"22.02.2024","22,77","22,54","23,07","22,51","7,01M","1,20%"
"21.02.2024","22,50","22,73","22,79","22,28","4,93M","-1,19%"
"20.02.2024","22,77","22,64","23,04","22,50","3,26M","0,40%"
"19.02.2024","22,68","22,32","22,73","22,19","1,86M","0,76%"
"16.02.2024","22,51","22,77","22,87","22,39","2,94M","-0,84%"
"15.02.2024","22,70","22,77","23,00","22,44","2,99M","-0,48%"
"14.02.2024","22,81","22,22","22,81","22,20","3,83M","1,11%"
"09.02.2024","22,56","21,89","22,78","21,89","8,86M","2,92%"
"08.02.2024","21,92","21,54","21,96","21,45","3,86M","1,06%"
"07.02.2024","21,69","21,92","22,22","21,63","6,08M","-0,64%"
"06.02.2024","21,83","22,52","22,66","21,55","14,96M","-3,83%"
"05.02.2024","22,70","22,47","22,84","22,16","5,42M","1,16%"
"02.02.2024","22,44","22,58","22,62","21,99","5,96M","-0,13%"
"01.02.2024","22,47","22,69","22,78","21,96","8,10M","-1,36%"
"31.01.2024","22,78","22,96","23,25","22,67","6,53M","-0,39%"
"30.01.2024","22,87","22,30","22,92","22,24","4,67M","2,46%"
"29.01.2024","22,32","22,31","22,37","21,86","5,86M","-0,36%"
"26.01.2024","22,40","22,72","22,92","22,26","2,71M","-1,41%"
"25.01.2024","22,72","22,92","22,92","22,42","2,39M","-0,04%"
"24.01.2024","22,73","22,56","23,20","22,56","5,67M","1,02%"
"23.01.2024","22,50","21,85","22,51","21,77","6,41M","3,45%"
"22.01.2024","21,75","21,42","21,78","21,28","4,99M","1,97%"
"19.01.2024","21,33","21,10","21,48","20,82","4,41M","1,23%"
"18.01.2024","21,07","21,50","21,50","20,95","1,88M","-1,03%"
"17.01.2024","21,29","21,27","21,60","21,21","2,89M","-0,28%"
"16.01.2024","21,35","21,33","21,44","21,04","6,78M","-0,33%"
"15.01.2024","21,42","21,63","21,68","21,36","1,65M","-1,29%"
"12.01.2024","21,70","21,80","21,85","21,45","3,24M","-0,91%"
"11.01.2024","21,90","22,43","22,43","21,74","7,92M","-1,88%"
"10.01.2024","22,32","21,58","22,40","21,52","13,88M","3,38%"
"09.01.2024","21,59","21,70","21,94","21,50","2,48M","-0,42%"
"08.01.2024","21,68","21,39","21,77","21,39","4,72M","1,45%"
"05.01.2024","21,37","21,17","21,37","21,02","4,36M","1,04%"
"04.01.2024","21,15","21,54","21,55","20,86","7,92M","-1,90%"
"03.01.2024","21,56","21,99","22,06","21,33","10,77M","-2,09%"
"02.01.2024","22,02","22,39","22,47","21,85","5,80M","-1,65%"
"28.12.2023","22,39","22,53","22,75","22,24","25,89M","-1,19%"
"27.12.2023","22,66","22,51","22,89","22,46","6,82M","0,62%"
"26.12.2023","22,52","22,74","22,78","22,43","4,65M","-0,97%"
"22.12.2023","22,74","22,62","22,83","22,61","5,51M","0,49%"
"21.12.2023","22,63","22,62","22,80","22,39","8,96M","0,71%"
"20.12.2023","22,47","22,74","22,85","22,36","8,35M","-1,19%"
"19.12.2023","22,74","23,37","23,47","22,67","19,04M","-2,74%"
"18.12.2023","23,38","23,85","24,04","23,25","9,99M","-2,05%"
"15.12.2023","23,87","24,00","24,04","23,63","7,62M","-0,13%"
"14.12.2023","23,90","24,45","24,66","23,81","6,04M","-1,89%"
"13.12.2023","24,36","23,89","24,59","23,89","7,26M","1,97%"
"12.12.2023","23,89","23,85","24,00","23,62","4,39M","0,38%"
"11.12.2023","23,80","23,14","23,81","23,11","6,58M","2,85%"
"08.12.2023","23,14","23,41","23,48","22,94","3,76M","-0,43%"
"07.12.2023","23,24","23,21","23,55","22,98","4,65M","0,17%"
"06.12.2023","23,20","23,34","23,48","23,04","7,25M","-0,09%"
"05.12.2023","23,22","23,00","23,39","22,86","7,36M","0,96%"
"04.12.2023","23,00","22,96","23,36","22,92","8,97M","0,70%"
"01.12.2023","22,84","21,55","22,85","21,54","15,95M","6,23%"
"30.11.2023","21,50","20,61","21,62","20,54","13,23M","5,44%"
"29.11.2023","20,39","20,09","20,44","19,89","4,73M","2,36%"
"28.11.2023","19,92","20,30","20,53","19,85","5,51M","-1,73%"
