"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.04.2024","27,51","27,06","27,55","27,06","1,20M","0,15%"
"11.04.2024","27,47","27,70","27,84","27,47","3,26M","-0,94%"
"10.04.2024","27,73","27,90","28,17","27,58","7,36M","-1,25%"
"09.04.2024","28,08","28,43","28,78","27,96","6,33M","-1,20%"
"08.04.2024","28,42","28,48","28,66","28,35","2,00M","0,57%"
"05.04.2024","28,26","28,40","28,58","28,15","3,66M","0,04%"
"04.04.2024","28,25","28,02","28,70","27,63","5,06M","1,51%"
"03.04.2024","27,83","27,83","28,18","27,51","3,82M","-0,07%"
"02.04.2024","27,85","27,87","28,19","27,28","4,20M","-1,00%"
"01.04.2024","28,13","28,38","28,55","27,87","3,82M","-0,88%"
"28.03.2024","28,38","29,02","29,02","28,32","5,94M","-2,24%"
"27.03.2024","29,03","28,40","29,25","27,82","6,56M","1,90%"
"26.03.2024","28,49","29,33","29,40","28,44","8,24M","-5,79%"
"25.03.2024","30,24","30,39","30,56","30,00","1,67M","-0,75%"
"23.03.2024","30,47","30,47","30,47","30,47","","-0,16%"
"22.03.2024","30,52","30,63","30,89","30,07","1,85M","-1,55%"
"21.03.2024","31,00","30,67","31,34","30,63","1,99M","1,08%"
"20.03.2024","30,67","30,29","30,68","30,05","2,16M","1,89%"
"19.03.2024","30,10","30,26","30,38","29,62","3,03M","0,10%"
"18.03.2024","30,07","30,98","31,02","30,00","2,99M","-2,97%"
"15.03.2024","30,99","31,25","31,27","30,97","4,28M","-0,03%"
"14.03.2024","31,00","31,09","31,48","30,80","5,13M","-0,64%"
"13.03.2024","31,20","31,21","31,55","30,99","2,01M","-0,03%"
"12.03.2024","31,21","30,33","31,45","30,11","3,17M","3,31%"
"11.03.2024","30,21","29,81","30,27","29,81","3,49M","0,27%"
"08.03.2024","30,13","29,79","30,37","29,77","2,50M","0,17%"
"07.03.2024","30,08","31,08","31,23","29,53","6,56M","-3,59%"
"06.03.2024","31,20","30,59","31,35","30,35","4,80M","2,50%"
"05.03.2024","30,44","30,74","31,08","30,35","2,54M","-1,04%"
"04.03.2024","30,76","31,16","31,37","30,76","3,04M","-1,28%"
"01.03.2024","31,16","30,83","31,31","30,83","4,18M","1,53%"
"29.02.2024","30,69","30,73","31,28","30,44","7,01M","-0,49%"
"28.02.2024","30,84","31,00","31,16","30,57","2,05M","-1,34%"
"27.02.2024","31,26","31,72","31,86","31,16","3,41M","-0,82%"
"26.02.2024","31,52","31,53","31,98","31,47","2,01M","0,16%"
"23.02.2024","31,47","31,99","32,37","31,47","3,08M","-0,98%"
"22.02.2024","31,78","31,33","31,90","31,01","5,91M","2,35%"
"21.02.2024","31,05","30,95","31,17","30,64","3,35M","0,00%"
"20.02.2024","31,05","30,50","31,09","30,30","6,85M","0,58%"
"19.02.2024","30,87","30,62","30,93","30,33","2,26M","0,10%"
"16.02.2024","30,84","30,78","31,00","30,32","4,94M","0,65%"
"15.02.2024","30,64","30,29","30,78","29,92","4,48M","2,17%"
"14.02.2024","29,99","30,28","30,61","29,86","6,30M","-2,06%"
"09.02.2024","30,62","29,57","30,84","29,25","6,94M","3,31%"
"08.02.2024","29,64","30,00","30,97","29,33","18,29M","-9,77%"
