"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.04.2024","22,56","23,40","23,50","22,42","6,91M","-3,55%"
"11.04.2024","23,39","23,91","23,96","23,17","13,13M","-2,83%"
"10.04.2024","24,07","24,59","24,59","23,75","4,14M","-2,15%"
"09.04.2024","24,60","24,60","24,89","24,22","3,42M","0,16%"
"08.04.2024","24,56","24,51","24,56","23,80","4,71M","0,16%"
"05.04.2024","24,52","24,50","24,68","24,20","3,10M","0,12%"
"04.04.2024","24,49","24,25","25,01","24,22","4,33M","1,03%"
"03.04.2024","24,24","24,93","24,93","23,91","4,00M","-2,61%"
"02.04.2024","24,89","25,05","25,14","24,53","2,23M","-0,44%"
"01.04.2024","25,00","25,91","25,95","24,84","3,90M","-1,57%"
"28.03.2024","25,40","25,65","25,96","25,04","3,78M","-0,74%"
"27.03.2024","25,59","24,80","25,72","24,03","7,29M","3,69%"
"26.03.2024","24,68","25,77","26,12","24,55","7,70M","-3,44%"
"25.03.2024","25,56","26,51","26,55","25,50","11,36M","2,49%"
"23.03.2024","24,94","24,94","24,94","24,94","","-0,56%"
"22.03.2024","25,08","24,68","25,38","24,53","13,71M","1,74%"
"21.03.2024","24,65","25,20","25,36","23,54","38,52M","-7,88%"
"20.03.2024","26,76","25,35","26,76","25,12","11,81M","5,69%"
"19.03.2024","25,32","26,52","26,60","23,91","20,53M","-4,13%"
"18.03.2024","26,41","28,60","29,20","25,98","32,05M","-14,03%"
"15.03.2024","30,72","31,50","31,61","30,72","1,32M","-2,57%"
"14.03.2024","31,53","31,63","31,88","31,27","918,70K","-0,88%"
"13.03.2024","31,81","31,80","32,31","31,50","1,88M","0,03%"
"12.03.2024","31,80","31,63","32,04","31,10","1,43M","0,98%"
"11.03.2024","31,49","32,38","32,67","31,45","1,31M","-3,11%"
"08.03.2024","32,50","32,08","33,00","32,02","888,80K","0,06%"
"07.03.2024","32,48","32,76","32,83","32,20","807,60K","-0,85%"
"06.03.2024","32,76","31,80","33,01","31,80","1,81M","3,02%"
"05.03.2024","31,80","31,62","32,00","31,42","1,12M","0,57%"
"04.03.2024","31,62","32,22","32,43","31,16","2,37M","-2,14%"
"01.03.2024","32,31","32,35","32,73","31,97","1,69M","-1,19%"
"29.02.2024","32,70","32,50","32,75","32,16","2,06M","0,62%"
"28.02.2024","32,50","32,85","33,14","32,11","2,95M","-1,87%"
"27.02.2024","33,12","33,64","33,94","32,87","1,94M","-1,16%"
"26.02.2024","33,51","32,85","33,75","32,79","1,54M","1,48%"
"23.02.2024","33,02","33,28","33,29","32,50","1,07M","-0,69%"
"22.02.2024","33,25","32,66","33,36","32,42","1,70M","1,78%"
"21.02.2024","32,67","33,16","33,19","31,96","2,12M","-1,74%"
"20.02.2024","33,25","32,63","33,47","32,39","2,41M","1,74%"
"19.02.2024","32,68","32,11","32,74","31,77","1,52M","1,97%"
"16.02.2024","32,05","32,21","32,21","31,67","1,23M","0,50%"
"15.02.2024","31,89","31,46","32,09","31,46","1,84M","1,43%"
