date,last_value,opening,high,low,trading_volume,percentage_change,id_listed_shares,id_profile
2024-04-12,32.45,32.4,32.5,32.22,88660000.0,-0.52,1,2
2024-04-11,32.62,32.71,32.8,31.95,345000000.0,-0.67,1,2
2024-04-10,32.84,32.35,32.96,32.3,525000000.0,0.89,1,3
2024-04-09,32.55,32.51,32.68,31.95,358000000.0,0.18,1,1
2024-04-08,32.49,32.3,32.62,31.86,427000000.0,0.34,1,1
2024-04-05,32.38,32.72,32.79,32.15,545000000.0,-0.61,1,2
2024-04-04,32.58,33.18,33.83,32.49,473000000.0,-1.57,1,2
2024-04-03,33.1,32.77,33.25,32.32,503000000.0,1.07,1,3
2024-04-02,32.75,32.47,33.06,32.07,656000000.0,1.11,1,3
2024-04-01,32.39,33.51,33.6,32.29,616000000.0,-2.76,1,2
2024-03-28,33.31,33.12,33.91,32.99,679000000.0,0.48,1,1
2024-03-27,33.15,33.43,33.43,32.95,485000000.0,-0.45,1,2
2024-03-26,33.3,33.04,33.64,32.8,783000000.0,-0.66,1,2
2024-03-25,33.52,33.35,33.77,32.72,1120000000.0,0.42,1,1
2024-03-23,33.38,33.38,33.38,33.38,0.0,0.09,1,2
2024-03-22,33.35,31.2,33.65,31.16,2419000000.0,7.93,1,3
2024-03-21,30.9,31.8,31.8,30.64,904000000.0,-2.46,1,2
2024-03-20,31.68,31.57,32.1,31.08,940000000.0,0.35,1,1
2024-03-19,31.57,29.63,31.63,29.6,1684000000.0,6.55,1,3
2024-03-18,29.63,29.73,30.0,27.66,1805000000.0,1.82,1,3
2024-03-15,29.1,29.53,29.8,29.03,1260000000.0,-0.92,1,2
2024-03-14,29.37,27.35,29.46,27.35,2408000000.0,10.21,1,3
2024-03-13,26.65,26.28,27.08,26.27,809000000.0,0.64,1,1
2024-03-12,26.48,26.73,26.73,25.91,491000000.0,-0.56,1,2
2024-03-11,26.63,26.79,26.96,26.09,357000000.0,-0.78,1,2
2024-03-08,26.84,26.31,27.26,26.3,452000000.0,1.51,1,3
2024-03-07,26.44,26.7,27.1,26.13,640000000.0,-1.2,1,2
2024-03-06,26.76,26.88,27.06,26.03,736000000.0,-0.15,1,2
2024-03-05,26.8,27.24,27.3,26.73,1021000000.0,-0.74,1,2
2024-03-04,27.0,25.98,27.1,25.8,2079000000.0,4.33,1,3
2024-03-01,25.88,24.93,25.93,24.72,1571000000.0,5.94,1,3
2024-02-29,24.43,23.93,24.43,23.71,608000000.0,2.05,1,3
2024-02-28,23.94,23.38,24.12,23.33,844000000.0,2.09,1,3
2024-02-27,23.45,22.93,23.95,22.88,761000000.0,2.67,1,3
2024-02-26,22.84,22.67,23.13,22.6,471000000.0,0.48,1,1
2024-02-23,22.73,22.77,23.08,22.66,420000000.0,-0.18,1,2
